,url,text,media_url,comments,likes
10,/groups/52876384720?view=permalink&id=10158441458639721&bacr=1591741430%3A1591741430%3A6%3A8549103193409625118%3A0%3A6836477392519420723&refid=7&_ft_=qid.6836477392578048661%3Amf_story_key.-4558051066435981170%3Agroup_id.52876384720%3Atop_level_post_id.10158441458639721%3Acontent_owner_id_new.100000264369040%3Asrc.22%3Astory_location.5%3Aview_time.1591741430%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],,[],[]
11,/story.php?story_fbid=290206202341430&id=100040561563913&bacr=1591741430%3A1591741430%3A8%3A-4558051066435981170%3A0%3A6836477392578048661&refid=7&_ft_=qid.6836477392578048661%3Amf_story_key.-5381232170643992473%3Atop_level_post_id.290206202341430%3Acontent_owner_id_new.100040561563913%3Asrc.22%3Aphoto_attachments_list.%5B290205929008124%2C290205972341453%2C290206009008116%2C290206089008108%2C290206152341435%5D%3Aphoto_id.290205929008124%3Astory_location.5%3Astory_attachment_style.album%3Aview_time.1591741430%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,"[""'እነኝህን ሜሞች ዛሬ ጓበኘሁዋቸው '"", ""'😂'"", ""'😂'"", ""'😂'"", ""' ጓደኞቼ ግዜ ኗሮአቸው በየሜሙ እየዞሩ አንብበው ሲበሽቁ '"", ""'😂'"", ""'😂'"", ""'  በዛ ላይ እንደተበዳይ ሲያለቃቅሱ መስማትም ገራሚ ነው '"", ""'🤔'"", ""'🤔'"", ""'  ሁሉም ነገር በወያኔ የተያዘ እና ሌላው ሲቀለድበት መሳቅ የለመደ ለራሱ ግዜ መሳቂያ ጥርስ ማጣት ያስቃል ! አስመሳይነትም ነው  !!!  ሜም ጆይን አርገህ ሌላው ሲሰደብ ስቀህ '"", ""'😂'"", ""'  እኔና ህዝቤ ተሰደብን የማለት ሞራል እናቴ ከየት ነው የምታመጡት እባካቹህ '"", ""'🤔'"", ""'🤔'"", ""' '"", ""' '"", ""'#'"", ""'meme'"", ""' አንብበህ ሌላው ሲሰደብ ከሳቅክ  ቻለው '"", ""'😂'"", ""'😂'"", ""' ሌላውም እየሰደበ እየቀለደ ይስቅብሃል !!'""]",/profile.php?id=100040561563913&fref=nf&refid=52&_ft_=qid.6836477392578048661%3Amf_story_key.-5381232170643992473%3Atop_level_post_id.290206202341430%3Acontent_owner_id_new.100040561563913%3Asrc.22%3Aphoto_attachments_list.%5B290205929008124%2C290205972341453%2C290206009008116%2C290206089008108%2C290206152341435%5D%3Aphoto_id.290205929008124%3Astory_location.5%3Astory_attachment_style.album%3Aview_time.1591741430%3Afilter.h_nor&__tn__=-R,[],[]
12,/groups/219416964805021?view=permalink&id=2981925425220814&bacr=1591741430%3A1591741430%3A9%3A-5381232170643992473%3A0%3A6836477392578048661&refid=7&_ft_=qid.6836477392578048661%3Amf_story_key.4815934673459410019%3Agroup_id.219416964805021%3Atop_level_post_id.2981925425220814%3Acontent_owner_id_new.100001799087498%3Asrc.22%3Aphoto_id.3866377776765487%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741430%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],,[],[]
13,/story.php?story_fbid=3927018010704432&id=100001888140140&bacr=1591741457%3A1591741457%3A1%3A2359425429231279261%3A0%3A6836477508593071241&refid=7&_ft_=qid.6836477508593071241%3Amf_story_key.2359425429231279261%3Atop_level_post_id.3927018010704432%3Acontent_owner_id_new.100001888140140%3Atext_formatting.106018623298955%3Asrc.22%3Astory_location.5%3Aview_time.1591741457%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],/jemal.gemta?fref=nf&refid=52&_ft_=qid.6836477508593071241%3Amf_story_key.2359425429231279261%3Atop_level_post_id.3927018010704432%3Acontent_owner_id_new.100001888140140%3Atext_formatting.106018623298955%3Asrc.22%3Astory_location.5%3Aview_time.1591741457%3Afilter.h_nor&__tn__=-R,[],[]
14,/story.php?story_fbid=288631472513044&id=100040985799020&bacr=1591741457%3A1591741457%3A1%3A2359425429231279261%3A0%3A6836477508593071241&refid=7&_ft_=qid.6836477508593071241%3Amf_story_key.-5836077779639490999%3Atop_level_post_id.288631472513044%3Acontent_owner_id_new.100040985799020%3Asrc.22%3Aphoto_id.288631402513051%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],/profile.php?id=100040985799020&fref=nf&refid=52&_ft_=qid.6836477508593071241%3Amf_story_key.-5836077779639490999%3Atop_level_post_id.288631472513044%3Acontent_owner_id_new.100040985799020%3Asrc.22%3Aphoto_id.288631402513051%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=-R,[],[]
15,/story.php?story_fbid=3930790513660515&id=100001888140140&bacr=1591741457%3A1591741457%3A2%3A-5836077779639490999%3A0%3A6836477508593071241&refid=7&_ft_=qid.6836477508593071241%3Amf_story_key.4146432748342010879%3Atop_level_post_id.3930790513660515%3Acontent_owner_id_new.100001888140140%3Atext_formatting.106018623298955%3Asrc.22%3Astory_location.5%3Aview_time.1591741457%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],/jemal.gemta?fref=nf&refid=52&_ft_=qid.6836477508593071241%3Amf_story_key.4146432748342010879%3Atop_level_post_id.3930790513660515%3Acontent_owner_id_new.100001888140140%3Atext_formatting.106018623298955%3Asrc.22%3Astory_location.5%3Aview_time.1591741457%3Afilter.h_nor&__tn__=-R,[],[]
16,/story.php?story_fbid=289979152378276&id=100040985799020&bacr=1591741457%3A1591741457%3A3%3A4146432748342010879%3A0%3A6836477508593071241&refid=7&_ft_=qid.6836477508593071241%3Amf_story_key.6873035487566196302%3Atop_level_post_id.289979152378276%3Acontent_owner_id_new.100040985799020%3Asrc.22%3Aphoto_id.289979125711612%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,"[""'ሳሚሻ  ሲዘዋወር አጊኝቼው አብን አብን ስትሸተኝ አንተ እንደሆንክ ጠርጥሬ ነበር  ጥበበኛው!'""]",/profile.php?id=100040985799020&fref=nf&refid=52&_ft_=qid.6836477508593071241%3Amf_story_key.6873035487566196302%3Atop_level_post_id.289979152378276%3Acontent_owner_id_new.100040985799020%3Asrc.22%3Aphoto_id.289979125711612%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=-R,[],[]
17,/story.php?story_fbid=260583561678375&id=100031801997733&bacr=1591741457%3A1591741457%3A4%3A6873035487566196302%3A0%3A6836477508593071241&refid=7&_ft_=qid.6836477508593071241%3Amf_story_key.1490457612670547026%3Atop_level_post_id.260583561678375%3Acontent_owner_id_new.100031801997733%3Asrc.22%3Aphoto_attachments_list.%5B260581868345211%2C260581875011877%2C260581895011875%5D%3Aphoto_id.260581868345211%3Astory_location.5%3Astory_attachment_style.album%3Aview_time.1591741457%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,"[""'ደረሰልኝ ጌታ'"", ""' ወድቄ እያለዉ በሀዘን በችግር'"", ""' አለም ገፍታኝ ኖራ ስትነሳኝ ፍቅር'"", ""' ታዲያ በዚ ጊዜ የማይተወኝ ጌታ'"", ""' ወደ እኔ መጣ ሀዘኔን ሊፈታ'"", ""' የድንግል ማርያም ልጅ ሊሆነኝ መከታ።'""]",/semelese.legese.12?fref=nf&refid=52&_ft_=qid.6836477508593071241%3Amf_story_key.1490457612670547026%3Atop_level_post_id.260583561678375%3Acontent_owner_id_new.100031801997733%3Asrc.22%3Aphoto_attachments_list.%5B260581868345211%2C260581875011877%2C260581895011875%5D%3Aphoto_id.260581868345211%3Astory_location.5%3Astory_attachment_style.album%3Aview_time.1591741457%3Afilter.h_nor&__tn__=-R,[],[]
18,/story.php?story_fbid=2704031823253695&id=100009407110653&bacr=1591741457%3A1591741457%3A5%3A1490457612670547026%3A0%3A6836477508593071241&refid=7&_ft_=qid.6836477508593071241%3Amf_story_key.6929618429079529789%3Atop_level_post_id.2704031823253695%3Acontent_owner_id_new.100009407110653%3Asrc.22%3Aphoto_id.2704031786587032%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,[],/profile.php?id=100009407110653&fref=nf&refid=52&_ft_=qid.6836477508593071241%3Amf_story_key.6929618429079529789%3Atop_level_post_id.2704031823253695%3Acontent_owner_id_new.100009407110653%3Asrc.22%3Aphoto_id.2704031786587032%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=-R,[],[]
19,/story.php?story_fbid=2903222996393253&id=100001167447471&bacr=1591741457%3A1591741457%3A6%3A6929618429079529789%3A0%3A6836477508593071241&refid=7&_ft_=qid.6836477508593071241%3Amf_story_key.6074959866038192155%3Atop_level_post_id.2903222996393253%3Acontent_owner_id_new.100001167447471%3Asrc.22%3Aphoto_id.2903222869726599%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=%2AW-R#footer_action_list,"[""'#'"", ""'Corona_Challeng'"", ""'e'"", ""'!'"", ""' A book worth reading!'""]",/zgetah?fref=nf&refid=52&_ft_=qid.6836477508593071241%3Amf_story_key.6074959866038192155%3Atop_level_post_id.2903222996393253%3Acontent_owner_id_new.100001167447471%3Asrc.22%3Aphoto_id.2903222869726599%3Astory_location.5%3Astory_attachment_style.photo%3Aview_time.1591741457%3Afilter.h_nor&__tn__=-R,[],[]
